experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,far_target,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.9574543103954868,0.06289657097904687
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.9574543103954868,0.06289657097904687
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,11,5,49,9733,0.6875,0.18333333333333332,0.005009200572480065,0.9579521059088121,0.38106731652641335
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9579521059088121,0.38106731652641335
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,13,3,196,9586,0.8125,0.06220095693779904,0.02003680228992026,0.9579521059088121,0.38106731652641335
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,14,2,392,9390,0.875,0.034482758620689655,0.04007360457984052,0.9579521059088121,0.38106731652641335
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9743654776354644,0.23437873462663578
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9743654776354644,0.23437873462663578
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,10,7,195,9546,0.5882352941176471,0.04878048780487805,0.02001847859562673,0.9743654776354644,0.23437873462663578
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9743654776354644,0.23437873462663578
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.958438620203326,0.06343845366140913
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,9,5,98,9626,0.6428571428571429,0.08411214953271028,0.010078157136980667,0.958438620203326,0.06343845366140913
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.958438620203326,0.06343845366140913
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.958438620203326,0.06343845366140913
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,11,5,49,9733,0.6875,0.18333333333333332,0.005009200572480065,0.962788795747291,0.3785514387685408
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,12,4,98,9684,0.75,0.10909090909090909,0.01001840114496013,0.962788795747291,0.3785514387685408
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,13,3,196,9586,0.8125,0.06220095693779904,0.02003680228992026,0.962788795747291,0.3785514387685408
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,15,1,392,9390,0.9375,0.036855036855036855,0.04007360457984052,0.962788795747291,0.3785514387685408
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9684293797592951,0.25139701377786955
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,9,8,98,9643,0.5294117647058824,0.08411214953271028,0.010060568730109845,0.9684293797592951,0.25139701377786955
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,10,7,195,9546,0.5882352941176471,0.04878048780487805,0.02001847859562673,0.9684293797592951,0.25139701377786955
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9684293797592951,0.25139701377786955
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9643297878591996,0.06624201639068622
