column,total_devices,total_records,compared_transitions,decrease_devices,decrease_events,avg_decrease,max_decrease,is_strictly_cumulative,elapsed_seconds
smart_1_raw,38842,37270438,37231596,38817,18536719,81743739.66722699,244104280.0,False,1.95
smart_4_raw,38842,37270438,37231596,22,22,3.272727272727273,11.0,False,2.61
smart_5_raw,38842,37270438,37231596,323,646,43308.65170278638,65528.0,False,2.68
smart_7_raw,38842,37270438,37231596,36082,72073,1856932411.4652367,2492080225496.0,False,3.23
smart_9_raw,38842,37270438,37231596,35,58,7243.586206896552,40497.0,False,3.35
smart_12_raw,38842,37270438,37231596,27,36,4.833333333333333,36.0,False,3.18
smart_187_raw,38842,37270438,37231596,11,11,5.909090909090909,18.0,False,3.32
smart_188_raw,38842,37270438,37231596,6,6,9305904472.0,17180131332.0,False,3.54
smart_192_raw,38842,37270438,37231596,25,25,102.24,219.0,False,3.57
smart_193_raw,38842,37270438,37231596,27,27,749.3333333333334,2944.0,False,3.62
smart_195_raw,38842,37270438,37231596,38817,18536719,81743739.66722699,244104280.0,False,3.97
smart_199_raw,38842,37270438,37231596,1,1,14.0,14.0,False,3.88
smart_240_raw,38842,37270438,37231596,26,26,7160.846153846154,14257.0,False,4.07
smart_241_raw,38842,37270438,37231596,25,25,38630125897.6,63389645224.0,False,4.19
smart_242_raw,38842,37270438,37231596,26,26,59459454963.5,124959866804.0,False,4.28
